14.5924 	WARNING 	Requested an unavailable screen number - using first available.
45.8958 	EXP 	fixation: autoDraw = False
45.8958 	EXP 	cue_stim: autoDraw = False
45.8958 	EXP 	target_stim: autoDraw = False
45.8958 	EXP 	reminder: autoDraw = False
45.8958 	EXP 	feedback_rt: height = 0.12
45.8958 	EXP 	feedback_rt: height = 0.12
45.8958 	EXP 	feedback_rt: height = 0.12
45.8958 	EXP 	feedback_rt: text = 'Tempo de Reação: 330 ms'
45.8958 	EXP 	feedback_rt: autoDraw = True
46.8805 	EXP 	New trial (rep=1, index=6): {'cue': 'images/arrow_left.png', 'target_x': 0.55, 'is_valid': -1, 'corr': 'right'}
46.8959 	EXP 	feedback_rt: autoDraw = False
46.8959 	EXP 	feedback_rt: autoDraw = False
46.8959 	EXP 	cue_stim: ori = 0.0
46.8959 	EXP 	cue_stim: image = 'images/arrow_left.png'
46.8959 	EXP 	fixation: autoDraw = True
47.6965 	EXP 	fixation: autoDraw = False
47.6965 	EXP 	cue_stim: autoDraw = True
47.8965 	EXP 	cue_stim: autoDraw = False
47.8965 	EXP 	target_stim: autoDraw = True
48.2081 	DATA 	Keypress: right
48.2124 	EXP 	fixation: autoDraw = False
48.2124 	EXP 	cue_stim: autoDraw = False
48.2124 	EXP 	target_stim: autoDraw = False
48.2124 	EXP 	reminder: autoDraw = False
48.2124 	EXP 	feedback_rt: height = 0.12
